countystate,county,price,state,FIPS
"Pueblo County, CO",Pueblo,3.637,CO,08101
"Rio Blanco County, CO",Rio Blanco,3.463,CO,08103
"Rio Grande County, CO",Rio Grande,3.599,CO,08105
"Routt County, CO",Routt,3.906,CO,08107
"Saguache County, CO",Saguache,3.463,CO,08109
"San Juan County, CO",San Juan,3.463,CO,08111
"San Miguel County, CO",San Miguel,3.463,CO,08113
"Sedgwick County, CO",Sedgwick,3.379,CO,08115
"Summit County, CO",Summit,3.686,CO,08117
"Teller County, CO",Teller,3.629,CO,08119
"Washington County, CO",Washington,3.463,CO,08121
"Weld County, CO",Weld,3.343,CO,08123
"Yuma County, CO",Yuma,3.299,CO,08125
"Broomfield County, CO",Broomfield,3.36,CO,08014
"Fairfield County, CT",Fairfield,3.575,CT,09001
"Hartford County, CT",Hartford,3.489,CT,09003
"Litchfield County, CT",Litchfield,3.422,CT,09005
"Middlesex County, CT",Middlesex,3.492,CT,09007
"New Haven County, CT",New Haven,3.491,CT,09009
"New London County, CT",New London,3.537,CT,09011
"Tolland County, CT",Tolland,3.511,CT,09013
"Windham County, CT",Windham,3.524,CT,09015
"Kent County, DE",Kent,3.305,DE,10001
"New Castle County, DE",New Castle,3.32,DE,10003
"Sussex County, DE",Sussex,3.293,DE,10005
"District of Columbia County, DC",District of Columbia,3.594,DC,11001
"Alachua County, FL",Alachua,3.312,FL,12001
"Baker County, FL",Baker,3.194,FL,12003
"Bay County, FL",Bay,3.301,FL,12005
"Bradford County, FL",Bradford,3.262,FL,12007
"Brevard County, FL",Brevard,3.22,FL,12009
"Broward County, FL",Broward,3.318,FL,12011
"Calhoun County, FL",Calhoun,3.28,FL,12013
"Charlotte County, FL",Charlotte,3.21,FL,12015
"Citrus County, FL",Citrus,3.252,FL,12017
"Clay County, FL",Clay,3.241,FL,12019
"Collier County, FL",Collier,3.304,FL,12021
"Columbia County, FL",Columbia,3.28,FL,12023
"DeSoto County, FL",DeSoto,3.299,FL,12027
"Dixie County, FL",Dixie,3.28,FL,12029
"Duval County, FL",Duval,3.205,FL,12031
"Escambia County, FL",Escambia,3.271,FL,12033
"Flagler County, FL",Flagler,3.288,FL,12035
"Franklin County, FL",Franklin,3.394,FL,12037
"Gadsden County, FL",Gadsden,3.253,FL,12039
"Gilchrist County, FL",Gilchrist,3.28,FL,12041
"Glades County, FL",Glades,3.28,FL,12043
"Gulf County, FL",Gulf,3.28,FL,12045
"Hamilton County, FL",Hamilton,3.28,FL,12047
"Hardee County, FL",Hardee,3.28,FL,12049
"Hendry County, FL",Hendry,3.28,FL,12051
"Hernando County, FL",Hernando,3.202,FL,12053
"Highlands County, FL",Highlands,3.265,FL,12055
"Hillsborough County, FL",Hillsborough,3.225,FL,12057
"Holmes County, FL",Holmes,3.28,FL,12059
"Indian River County, FL",Indian River,3.316,FL,12061
"Jackson County, FL",Jackson,3.224,FL,12063
"Jefferson County, FL",Jefferson,3.412,FL,12065
"Lafayette County, FL",Lafayette,3.28,FL,12067
"Lake County, FL",Lake,3.195,FL,12069
"Lee County, FL",Lee,3.268,FL,12071
"Leon County, FL",Leon,3.314,FL,12073
"Levy County, FL",Levy,3.324,FL,12075
"Liberty County, FL",Liberty,3.28,FL,12077
"Madison County, FL",Madison,3.28,FL,12079
"Manatee County, FL",Manatee,3.259,FL,12081
"Marion County, FL",Marion,3.209,FL,12083
"Martin County, FL",Martin,3.318,FL,12085
"Monroe County, FL",Monroe,3.316,FL,12087
"Nassau County, FL",Nassau,3.293,FL,12089
"Okaloosa County, FL",Okaloosa,3.192,FL,12091
"Okeechobee County, FL",Okeechobee,3.241,FL,12093
"Orange County, FL",Orange,3.275,FL,12095
"Osceola County, FL",Osceola,3.3,FL,12097
"Palm Beach County, FL",Palm Beach,3.411,FL,12099
"Pasco County, FL",Pasco,3.235,FL,12101
"Pinellas County, FL",Pinellas,3.23,FL,12103
"Polk County, FL",Polk,3.271,FL,12105
"Putnam County, FL",Putnam,3.241,FL,12107
"St. Johns County, FL",St. Johns,3.278,FL,12109
"St. Lucie County, FL",St. Lucie,3.289,FL,12111
"Santa Rosa County, FL",Santa Rosa,3.283,FL,12113
"Sarasota County, FL",Sarasota,3.268,FL,12115
"Seminole County, FL",Seminole,3.233,FL,12117
"Sumter County, FL",Sumter,3.174,FL,12119
"Suwannee County, FL",Suwannee,3.28,FL,12121
"Taylor County, FL",Taylor,3.409,FL,12123
"Union County, FL",Union,3.28,FL,12125
"Volusia County, FL",Volusia,3.282,FL,12127
"Wakulla County, FL",Wakulla,3.364,FL,12129
"Walton County, FL",Walton,3.326,FL,12131
"Washington County, FL",Washington,3.28,FL,12133
"Miami-Dade County, FL",Miami-Dade,3.294,FL,12086
"Appling County, GA",Appling,3.196,GA,13001
"Atkinson County, GA",Atkinson,3.247,GA,13003
"Bacon County, GA",Bacon,3.252,GA,13005
"Baker County, GA",Baker,3.247,GA,13007
"Baldwin County, GA",Baldwin,3.154,GA,13009
"Banks County, GA",Banks,3.247,GA,13011
"Barrow County, GA",Barrow,3.22,GA,13013
"Bartow County, GA",Bartow,3.178,GA,13015
"Ben Hill County, GA",Ben Hill,3.266,GA,13017
"Berrien County, GA",Berrien,3.247,GA,13019
"Bibb County, GA",Bibb,3.247,GA,13021
"Bleckley County, GA",Bleckley,3.247,GA,13023
"Brantley County, GA",Brantley,3.324,GA,13025
"Brooks County, GA",Brooks,3.186,GA,13027
"Bryan County, GA",Bryan,3.337,GA,13029
"Bulloch County, GA",Bulloch,3.254,GA,13031
"Burke County, GA",Burke,3.159,GA,13033
"Butts County, GA",Butts,3.219,GA,13035
"Calhoun County, GA",Calhoun,3.247,GA,13037
"Camden County, GA",Camden,3.293,GA,13039
"Candler County, GA",Candler,3.247,GA,13043
"Carroll County, GA",Carroll,3.239,GA,13045
"Catoosa County, GA",Catoosa,3.07,GA,13047
"Charlton County, GA",Charlton,3.247,GA,13049
"Chatham County, GA",Chatham,3.292,GA,13051
"Chattahoochee County, GA",Chattahoochee,3.247,GA,13053
"Chattooga County, GA",Chattooga,3.204,GA,13055
"Cherokee County, GA",Cherokee,3.241,GA,13057
"Clarke County, GA",Clarke,3.24,GA,13059
"Clay County, GA",Clay,3.247,GA,13063
"Clayton County, GA",Clayton,3.236,GA,13063
"Clinch County, GA",Clinch,3.247,GA,13065
"Cobb County, GA",Cobb,3.26,GA,13067
"Coffee County, GA",Coffee,3.17,GA,13069
"Colquitt County, GA",Colquitt,3.247,GA,13071
"Columbia County, GA",Columbia,3.092,GA,13073
"Cook County, GA",Cook,3.293,GA,13075
"Coweta County, GA",Coweta,3.255,GA,13077
"Crawford County, GA",Crawford,3.247,GA,13079
"Crisp County, GA",Crisp,3.199,GA,13081
"Dade County, GA",Dade,3.247,GA,13083
"Dawson County, GA",Dawson,3.243,GA,13085
"Decatur County, GA",Decatur,3.095,GA,13087
"Dekalb County, GA",Dekalb,3.252,GA,13089
"Dodge County, GA",Dodge,3.247,GA,13091
"Dooly County, GA",Dooly,3.247,GA,13093
"Dougherty County, GA",Dougherty,3.079,GA,13095
"Douglas County, GA",Douglas,3.26,GA,13097
"Early County, GA",Early,3.247,GA,13099
"Echols County, GA",Echols,3.247,GA,13101
"Effingham County, GA",Effingham,3.209,GA,13103
"Elbert County, GA",Elbert,3.219,GA,13105
"Emanuel County, GA",Emanuel,3.247,GA,13107
"Evans County, GA",Evans,3.247,GA,13109
"Fannin County, GA",Fannin,3.236,GA,13111
"Fayette County, GA",Fayette,3.27,GA,13113
"Floyd County, GA",Floyd,3.18,GA,13115
"Forsyth County, GA",Forsyth,3.252,GA,13117
"Franklin County, GA",Franklin,3.244,GA,13119
"Fulton County, GA",Fulton,3.328,GA,13121
"Gilmer County, GA",Gilmer,3.232,GA,13123
"Glascock County, GA",Glascock,3.247,GA,13125
"Glynn County, GA",Glynn,3.249,GA,13127
"Gordon County, GA",Gordon,3.165,GA,13129
"Grady County, GA",Grady,3.247,GA,13131
"Greene County, GA",Greene,3.247,GA,13133
"Gwinnett County, GA",Gwinnett,3.249,GA,13135
"Habersham County, GA",Habersham,3.247,GA,13137
"Hall County, GA",Hall,3.228,GA,13139
"Hancock County, GA",Hancock,3.247,GA,13141
"Haralson County, GA",Haralson,3.225,GA,13143
"Harris County, GA",Harris,3.272,GA,13145
"Hart County, GA",Hart,3.129,GA,13147
"Heard County, GA",Heard,3.247,GA,13149
"Henry County, GA",Henry,3.229,GA,13151
"Houston County, GA",Houston,3.087,GA,13153
"Irwin County, GA",Irwin,3.247,GA,13155
"Jackson County, GA",Jackson,3.23,GA,13157
"Jasper County, GA",Jasper,3.247,GA,13159
"Jeff Davis County, GA",Jeff Davis,3.054,GA,13161
"Jefferson County, GA",Jefferson,3.247,GA,13163
"Jenkins County, GA",Jenkins,3.247,GA,13165
"Johnson County, GA",Johnson,3.247,GA,13167
"Jones County, GA",Jones,3.247,GA,13169
"Lamar County, GA",Lamar,3.232,GA,13171
"Lanier County, GA",Lanier,3.247,GA,13173
"Laurens County, GA",Laurens,3.137,GA,13175
"Lee County, GA",Lee,3.247,GA,13177
"Liberty County, GA",Liberty,3.24,GA,13179
"Lincoln County, GA",Lincoln,3.247,GA,13181
"Long County, GA",Long,3.247,GA,13183
"Lowndes County, GA",Lowndes,3.133,GA,13185
"Lumpkin County, GA",Lumpkin,3.307,GA,13187
"Macon County, GA",Macon,3.247,GA,13193
"Madison County, GA",Madison,3.247,GA,13195
"Marion County, GA",Marion,3.247,GA,13197
"McDuffie County, GA",McDuffie,3.207,GA,13189
"McIntosh County, GA",McIntosh,3.247,GA,13191
"Meriwether County, GA",Meriwether,3.247,GA,13199
"Miller County, GA",Miller,3.247,GA,13201
"Mitchell County, GA",Mitchell,3.247,GA,13205
"Monroe County, GA",Monroe,3.369,GA,13207
"Montgomery County, GA",Montgomery,3.247,GA,13209
"Morgan County, GA",Morgan,3.217,GA,13211
"Murray County, GA",Murray,3.149,GA,13213
"Muscogee County, GA",Muscogee,3.208,GA,13215
"Newton County, GA",Newton,3.234,GA,13217
"Oconee County, GA",Oconee,3.249,GA,13219
"Oglethorpe County, GA",Oglethorpe,3.247,GA,13221
"Paulding County, GA",Paulding,3.24,GA,13223
"Peach County, GA",Peach,3.117,GA,13225
"Pickens County, GA",Pickens,3.195,GA,13227
"Pierce County, GA",Pierce,3.247,GA,13229
"Pike County, GA",Pike,3.247,GA,13231
"Polk County, GA",Polk,3.247,GA,13233
"Pulaski County, GA",Pulaski,3.158,GA,13235
"Putnam County, GA",Putnam,3.164,GA,13237
"Quitman County, GA",Quitman,3.255,GA,13239
"Rabun County, GA",Rabun,3.299,GA,13241
"Randolph County, GA",Randolph,3.247,GA,13243
"Richmond County, GA",Richmond,3.195,GA,13245
"Rockdale County, GA",Rockdale,3.223,GA,13247
"Schley County, GA",Schley,3.247,GA,13249
"Screven County, GA",Screven,3.247,GA,13251
"Seminole County, GA",Seminole,3.219,GA,13253
"Spalding County, GA",Spalding,3.224,GA,13255
"Stephens County, GA",Stephens,3.122,GA,13257
"Stewart County, GA",Stewart,3.247,GA,13259
"Sumter County, GA",Sumter,3.247,GA,13261
"Talbot County, GA",Talbot,3.247,GA,13263
"Taliaferro County, GA",Taliaferro,3.247,GA,13265
"Tattnall County, GA",Tattnall,3.249,GA,13267
"Taylor County, GA",Taylor,3.247,GA,13269
"Telfair County, GA",Telfair,3.247,GA,13271
"Terrell County, GA",Terrell,3.239,GA,13273
"Thomas County, GA",Thomas,3.092,GA,13275
"Tift County, GA",Tift,3.112,GA,13277
"Toombs County, GA",Toombs,3.247,GA,13279
"Towns County, GA",Towns,3.229,GA,13281
"Treutlen County, GA",Treutlen,3.247,GA,13283
"Troup County, GA",Troup,3.266,GA,13285
"Turner County, GA",Turner,3.247,GA,13287
"Twiggs County, GA",Twiggs,3.247,GA,13289
"Union County, GA",Union,3.185,GA,13291
"Upson County, GA",Upson,3.146,GA,13293
"Walker County, GA",Walker,3.151,GA,13295
"Walton County, GA",Walton,3.226,GA,13297
"Ware County, GA",Ware,3.247,GA,13299
"Warren County, GA",Warren,3.259,GA,13301
"Washington County, GA",Washington,3.247,GA,13303
"Wayne County, GA",Wayne,3.127,GA,13305
"Webster County, GA",Webster,3.247,GA,13307
"Wheeler County, GA",Wheeler,3.247,GA,13309
"White County, GA",White,3.189,GA,13311
"Whitfield County, GA",Whitfield,3.223,GA,13313
"Wilcox County, GA",Wilcox,3.247,GA,13315
"Wilkes County, GA",Wilkes,3.247,GA,13317
"Wilkinson County, GA",Wilkinson,3.247,GA,13319
"Worth County, GA",Worth,3.247,GA,13321
"Hawaii County, HI",Hawaii,4.417,HI,15001
"Honolulu County, HI",Honolulu,4.245,HI,15003
"Kauai County, HI",Kauai,4.519,HI,15007
"Maui County, HI",Maui,4.337,HI,15009
